"NYN202204150","ARI",1,0,0,0,2,"CFFS",0,0,"varsd001","L","varsd001","L","bassc001","R","bassc001","R","mccaj001","alonp001","canor001","escoe001","lindf001","mcnej002","jankt001","marts002","","","","K","T","F",8,1,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","T","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,1
"NYN202204150","ARI",1,0,1,1,1,"BSX",0,0,"martk001","L","martk001","L","bassc001","R","bassc001","R","mccaj001","alonp001","canor001","escoe001","lindf001","mcnej002","jankt001","marts002","","","","D8/L89XD+","F","F",4,2,21,"T","T",2,"F","F",0,"F","F",0,"F","F",8,"L","F","F","89XD",0,0,"N",0,"N",0,"N",2,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,2
"NYN202204150","ARI",1,0,1,3,2,"BBCSF*BFFB",0,0,"perad001","L","perad001","L","bassc001","R","bassc001","R","mccaj001","alonp001","canor001","escoe001","lindf001","mcnej002","jankt001","marts002","","martk001","","W","F","F",7,3,14,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,2,0,"","","","","F","F","F","F","F","F","F","F","F","","bassc001","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,3
"NYN202204150","ARI",1,0,1,3,2,"CSBBBS",0,0,"walkc002","R","walkc002","R","bassc001","R","bassc001","R","mccaj001","alonp001","canor001","escoe001","lindf001","mcnej002","jankt001","marts002","perad001","martk001","","K","F","F",3,4,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,1,2,0,"2","","","","F","F","F","F","F","F","F","F","F","bassc001","bassc001","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,4
"NYN202204150","ARI",1,0,2,1,1,"CBX",0,0,"smitp002","L","smitp002","L","bassc001","R","bassc001","R","mccaj001","alonp001","canor001","escoe001","lindf001","mcnej002","jankt001","marts002","perad001","martk001","","6/P6M","F","F",9,5,2,"T","T",0,"F","F",1,"F","F",0,"F","F",6,"P","F","F","6M",0,0,"N",0,"N",0,"N",0,1,2,0,"6","","","","F","F","F","F","F","F","F","F","F","bassc001","bassc001","","F","F","F","F","F","","","","",0,6,0,0,0,0,0,0,0,5
"NYN202204150","ARI",1,1,0,2,2,"CBFBX",0,0,"mcnej002","L","mcnej002","L","daviz001","R","daviz001","R","herrj003","walkc002","martk001","alcas002","perdg001","perad001","varsd001","smitp002","","","","S5/G56","T","F",7,1,20,"T","T",1,"F","F",0,"F","F",0,"F","F",5,"G","F","F","56",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,6
"NYN202204150","ARI",1,1,0,1,0,"BX",0,0,"marts002","R","marts002","R","daviz001","R","daviz001","R","herrj003","walkc002","martk001","alcas002","perdg001","perad001","varsd001","smitp002","mcnej002","","","S8/F8S.1-2","F","F",9,2,20,"T","T",1,"F","F",0,"F","F",0,"F","F",8,"F","F","F","8S",0,0,"N",0,"N",0,"N",1,2,0,0,"","","","","F","F","F","F","F","F","F","F","F","daviz001","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,7
"NYN202204150","ARI",1,1,0,0,2,"CFX",0,0,"lindf001","L","lindf001","L","daviz001","R","daviz001","R","herrj003","walkc002","martk001","alcas002","perdg001","perad001","varsd001","smitp002","marts002","mcnej002","","46(1)/FO/G34.2-3;B-1","F","F",6,3,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"G","F","F","34",0,0,"N",0,"N",0,"N",1,0,3,0,"","46","","","F","F","F","F","F","F","F","F","F","daviz001","daviz001","","F","F","F","F","F","","","","",0,6,0,0,4,0,0,0,0,8
"NYN202204150","ARI",1,1,1,1,0,"*BX",0,0,"alonp001","R","alonp001","R","daviz001","R","daviz001","R","herrj003","walkc002","martk001","alcas002","perdg001","perad001","varsd001","smitp002","lindf001","","mcnej002","7/SF/F7LSF/FL.3-H;1-2","F","F",3,4,2,"T","F",0,"F","T",1,"F","F",1,"F","F",7,"F","F","T","7LSF",0,0,"N",0,"N",0,"N",0,2,0,4,"7","","","","F","F","F","F","F","F","F","F","F","daviz001","","daviz001","F","F","F","F","F","","","","",0,7,0,0,0,0,0,0,0,9
"NYN202204150","ARI",1,1,2,2,1,"BBCX",0,1,"escoe001","L","escoe001","L","daviz001","R","daviz001","R","herrj003","walkc002","martk001","alcas002","perdg001","perad001","varsd001","smitp002","","lindf001","","6/P6","F","F",5,5,2,"T","T",0,"F","F",1,"F","F",0,"F","F",6,"P","F","F","6",0,0,"N",0,"N",0,"N",0,0,2,0,"6","","","","F","F","F","F","F","F","F","F","F","","daviz001","","F","F","F","F","F","","","","",0,6,0,0,0,0,0,0,0,10
